,negative,neutral,positive,helpfulness,burst,count
A4M7GUJ0MKZD4,0.1428571429,0,0.8571428571,0,0.75,7
AWQQ1QHCECDJ3,0,0.2,0.8,0,0.25,5
ASWMQ58EJL0RF,0.2,0.2,0.6,2.25,4,5
A19SEZVIVAMGVZ,0,0,1,0,2,6
A1WSJ7PT9GTD6B,0,0,1,0.9047619048,0.25,5
A2S9M3F1Z2XIQG,0,0.2,0.8,0,1.5,5
A3D42ZX96FA6EW,0,0.1,0.9,4,1,10
A194BLXLSNY8SE,0,0,1,0.5,0.6666666667,5
A3NTAQ473SV08U,0,0,1,0.25,1,6
A6D91KPQGIDKZ,0,0,1,1,0,6
A3IURSDK689G7M,0,0,1,0,5,6
AJZWAEYCF43WH,0,0.2,0.8,0,1.5,5
A19JA9J3BFBKNO,0,0.2,0.8,0,1.5,5
A223S6N0DBQBHP,0,0.1111111111,0.8888888889,2,0.5,9
A2FN5DGPDO01W,0,0,1,0,0.25,5
AT9G9PT2K0PLB,0,0,1,2,4,5
A1JTDD2GQ66AOO,0,0,1,0,1.5,5
A2J4UAF6RW13WK,0,0.0909090909,0.9090909091,3,0.8333333333,11
A39ZK4KYML9463,0,0,1,1,0.2,6
A26GUM1C5M1E51,0.0714285714,0,0.9285714286,1.5,0.4,14
A1HJ1H7EIPFBRK,0,0,1,0,4,5
AB7WPLA1CN5I1,0,0,1,2,0,6
A3QTFLU2ZWH7WS,0,0,1,2,0.4,7
A2HBAYOAKSXIY2,0.1666666667,0,0.8333333333,3.2666666667,0.5,6
AKGWRO6IC0VIE,0.5714285714,0.1428571429,0.2857142857,2.777972028,0.1666666667,7
A2T8JRVJRVNX8R,0,0,1,0,0,5
A1Q3YZOVFXRKDZ,0,0,1,0,0.6666666667,5
A3E0CF25A7LD2,0,0.25,0.75,0,0.6,8
A1LCG14GZJI5LO,0.2,0.2,0.6,1.8852459016,0.25,5
A214MI77WXVK9Q,0,0.1111111111,0.8888888889,2,2,9
AVOKN4NDZCN78,0.2857142857,0.1428571429,0.5714285714,3,0.4,7
A2CARFAX5FNQT9,0,0,1,1.5,0.6,8
A3NMQFWLXPP8EV,0,0,1,2,3,8
A38SICZYZTLDQ9,0.1666666667,0,0.8333333333,1,0.2,6
A1C60KQ8VJZBS5,0,0,1,1.3333333333,0.4,7
A2LSR40ZH18TPH,0.1666666667,0,0.8333333333,1.3333333333,1,6
A35M5X7LV6QLFT,0,0,1,3,0.2,6
ACP8IZY0RS49F,0,0.4,0.6,0,0.25,5
A18MMME07XZLYO,0,0.1111111111,0.8888888889,2,0.8,9
A1365RYO0BLEMI,0.0769230769,0.0769230769,0.8461538462,7,0.3,13
AYQCAPXJ81XTN,0,0,1,7.5488505747,1,10
A30J7WQV0ZNRXG,0,0,1,5.1922739541,0.1,11
A2WDY3XDWDFNYG,0.1428571429,0.1428571429,0.7142857143,3.0833333333,0.1666666667,7
A3FBE4WF5KQRR1,0.2,0,0.8,1,0.6666666667,5
A3DGMJN91IUKGU,0,0,1,0,1,8
A1R019TURAPFDS,0,0,1,2.5,0,5
A306NASGVUDFKF,0,0,1,0,0,6
AT09WGFUM934H,0.0714285714,0.1428571429,0.7857142857,4.5,0.4,14
A8AF0VV2LP4LV,0.2,0,0.8,0,0.6666666667,5
A3LBEIXA1JL28I,0,0,1,2.5,0.6666666667,5
A3EUD541ZM0R0R,0,0,1,1,2,6
A2HIRKOAFQQLBE,0.1428571429,0,0.8571428571,3.875,0,7
A9J03MF2689TS,0.125,0.125,0.75,4.25,0,8
A3DLRCC45S85QN,0,0.1111111111,0.8888888889,2.818627451,0.5,9
A7TRK2GG6BHWD,0,0,1,2.6666666667,0,5
A27KQGXAU8Z7OT,0.0769230769,0,0.9230769231,1,12,13
A1ZV3RNQH852U2,0,0,1,3,2,6
A6LHCT7P53RSA,0,0,1,0,0.6666666667,5
A1LI9W7A0CYOHV,0,0.1428571429,0.8571428571,3,0.4,7
A2PP4G3DLGDD4T,0.2,0,0.8,0,4,5
A3CVZRPQH1PFQ5,0.6,0,0.4,0.3333333333,1.5,5
A2BK5M8IYNF7CV,0.2,0,0.8,0,1.5,5
A3EIML9QZO5NZZ,0,0,1,2.75,0.6666666667,5
A2E2KYE92LF0T7,0,0.1428571429,0.8571428571,0,0.1666666667,7
A1JN3UIUZAHF7V,0,0.1111111111,0.8888888889,3,0.8,9
A1VR0GV8LPJYNF,0,0,1,1,0.6666666667,5
A2N7F3MVCTAOYP,0.1428571429,0.1428571429,0.7142857143,1.1,2.5,7
A27DR1VO079F1V,0.0909090909,0,0.9090909091,2,4.5,11
A27V6PS7Y83OIV,0,0,1,4.9333333333,0.25,5
A3DDG0WH5SBF34,0.2,0,0.8,0,0.25,5
A2HWUC980HM1NP,0,0.5,0.5,2,0.2,6
A2LXCPYCPZJVW4,0,0,1,1,0.6666666667,5
AB2G1XOBEGWK2,0,0.1,0.9,8.1666666667,1,10
A1LH6RF4UN9VI6,0.125,0.125,0.75,3.5924369748,0,8
A1T3PBZ7DVBC26,0,0,1,1,1.5,5
A14Z9LAETO21KL,0.125,0.375,0.5,1,0.6,8
A1MAQQXJZTMSKT,0.0588235294,0.1176470588,0.8235294118,2.6428571429,0.7,17
A2Z548GT5948WH,0.0909090909,0.1818181818,0.7272727273,3,2.6666666667,11
A3M1PLEYNDEYO8,0.0416666667,0.0416666667,0.9166666667,8.0357142857,0.2,24
A35CRCL7WVUCYG,0,0,1,0,8,9
A1ZMV5QSAR8V2L,0,0.2857142857,0.7142857143,0,0.75,7
A1MH7LD4Y203Q5,0,0.1111111111,0.8888888889,3,0.5,9
A1BW6F3GAM38XV,0.1666666667,0.1666666667,0.6666666667,2,0.5,6
A245MWTMXYXXHY,0,0.2,0.8,0,4,5
A1ZGNCN1VRUO1H,0,0,1,2.3,0,5
A3G6KKDMMFQQ5K,0,0.5,0.5,1,2,6
A35Z3TBNCQU3VY,0,0.2,0.8,1,1.5,5
A3DDZ2SENG07MS,0,0,1,3,4,10
A1DZDG9AT98298,0,0,1,1.75,0.0909090909,12
A6A03NM42KUXL,0,0.2,0.8,0,0.25,5
A1LHKVHP38M046,0,0,1,1,0.25,5
A39JMLMY96E8CP,0,0,1,0,0.6666666667,5
A23BIOQUMRC7K5,0,0,1,1,2,6
A17CU1D2CWXOHB,0,0.0909090909,0.9090909091,0.5,1.75,11
A2GVH4P25TXN8M,0,0,1,1.9545454546,1,10
A2CMX45JPSCTUJ,0,0.1428571429,0.8571428571,1.5,1.3333333333,7
A38L9I59GH34O0,0,0,1,3.8305084746,0.1666666667,7
AN5ISBOQ5U7C,0,0,1,2,1,6
A3SDJ70H00OQCJ,0.0769230769,0.0769230769,0.8461538462,8.7529681475,0,13
A3HKX5UIDJ403N,0,0,1,0.25,1.5,5
ALEFGB3G2BYG8,0.2,0,0.8,1,1.5,5
AOINAOO0NQRGN,0,0,1,7,0.3,13
ALUTHT4U058KZ,0,0,1,2,2.5,7
A2G12DY50U700V,0,0,1,0,8,9
A3HCK3UXD6WS4G,0,0.1818181818,0.8181818182,2,1.2,11
A3USVJXZXK7XRI,0,0.2222222222,0.7777777778,3,0.2857142857,9
A34IJACMU8C3IM,0,0,1,4.8705882353,4,5
A1AFH79R6W1QOQ,0.2,0,0.8,2.75,0,5
A3VPJNX40SBP1M,0,0.125,0.875,0,0.3333333333,8
A1XDIC6OQKYJXW,0,0,1,0,0.8,9
A3J7KKG9O7KAZM,0,0,1,0,0.75,7
A1AOD8N6LJYHBU,0,0,1,2.5,1,6
A9AETC0WEPZAM,0,0.2,0.8,0,0.6666666667,5
A37T74W067OYPB,0,0,1,0,1.5,5
A1VU51HBF6KIYB,0,0,1,0.9375,4,5
ALAY8GVFBUQ9L,0,0.1111111111,0.8888888889,3,0.5,9
A3DJZHSAW4ANH0,0,0.2,0.8,0.5,0.6666666667,5
A1XEX009ZR6WXG,0,0.3333333333,0.6666666667,0,2,6
A3W5BERPNVRXR6,0.2,0,0.8,0,0,5
A1UPZM995ZAH90,0,0,1,0,7,8
AX69H7INJKE76,0,0,1,1,4,5
A1TSKKBNV38E8Y,0.1111111111,0.2222222222,0.6666666667,2.5,0.125,9
AAGD3GA9ZVPLQ,0.4,0.2,0.4,1.6,0.6666666667,5
A2M8T1A4O0GS72,0,0,1,2.1666666667,0.8,9
A21Q29J3ZWPDNP,0,0.0909090909,0.9090909091,7.4666666667,0.375,11
A1YYGXVZA97XFO,0,0,1,0,4,5
A3R8XCQYDNQIAA,0,0.1428571429,0.8571428571,3,0.4,7
A2FAF1J19NO0ID,0,0.1666666667,0.8333333333,3,1,6
A1N4PW6FTMBUSQ,0,0.125,0.875,7.35,0,8
ATPP3IWN4S9PW,0,0.2,0.8,1,0.6666666667,5
A1MV8LXEXO8EWC,0,0,1,1.8378378378,0.25,5
A3AGHEETVTCBQI,0,0,1,3.6666666667,0,7
A2ICKZFBMHCMUK,0,0.1666666667,0.8333333333,1,2,6
A32ZC1AIF9B85,0,0,1,1.1,4,5
AYQ46BHSK99YV,0,0,1,0,2.5,7
A3KKTTJACRWL16,0.2,0.2,0.6,0,1.5,5
A33LV2M1PAJZ45,0,0,1,1,1.5,5
AJBBU53A0X84I,0.0909090909,0.0909090909,0.8181818182,0.5,4.5,11
AKYDGCKCY7H9F,0,0.0869565217,0.9130434783,11.0238095238,0,23
ANAKK5KNUAP17,0.1666666667,0,0.8333333333,3.1666666667,0.2,6
A3IZF3M92E7SI2,0,0,1,0.5,2,6
A1UMOYYM8HB2A1,0,0,1,4,0,7
A1NGFLLBENI6FG,0,0,1,2.5,0.6666666667,5
A2B78RXJ2PB6ZD,0,0.2,0.8,0.75,0.25,5
A37WW789WSY81F,0.2222222222,0,0.7777777778,7.0714285714,0,9
ABZYVME9NYCQG,0,0.0769230769,0.9230769231,3,0.625,13
A3G6P4SJ8SYH9F,0.0769230769,0.2307692308,0.6923076923,2,0.8571428571,13
A1L7M2JXN4EZCR,0.0263157895,0.0526315789,0.9210526316,3.6666666667,1.5333333333,38
A1ZD690RCXOSB,0,0.2,0.8,1.5,1.5,5
A8MTE6SIYM0GY,0,0.1428571429,0.8571428571,4.6666666667,0.4,7
AWYXB9L41T82S,0.1666666667,0.3333333333,0.5,1,0.5,6
A3EZEP0FX5BC1P,0,0,1,4.6683673469,0.125,9
A19NGYCQ1NCF3W,0,0.3333333333,0.6666666667,3.6964285714,0.5,6
A2C46HQIZLYJUC,0.2,0.1,0.7,6.1119047619,0.6666666667,10
AVDW3OAVWWE05,0,0.1428571429,0.8571428571,2,0.75,7
A3ABAA36CZVYNX,0,0.1428571429,0.8571428571,5.6134868421,0,7
A1T9A8YD2FU9UF,0,0,1,3,1.25,9
A396ELNTQDFYPO,0.0909090909,0,0.9090909091,4,0.8333333333,11
A1UI4WTBYHYUGD,0.3333333333,0.1666666667,0.5,1.6666666667,0,6
A52GGV55KT8AV,0.1666666667,0,0.8333333333,1.5,2,6
A2TZAS3A5WIUJQ,0,0,1,0.5,0.6666666667,5
A3CG1XH8G9AFSK,0.1428571429,0.1428571429,0.7142857143,1.5,0.75,7
A3UETHIJBL6MCV,0,0,1,2.462962963,1.5,5
A1OV2BH2S11KBA,0.2857142857,0,0.7142857143,2.25,0.4,7
A1KCRFFQDLE7MA,0,0,1,1,1.3333333333,7
A2FFJCRIYMCVCZ,0,0,1,1,0.1666666667,7
A3EYCAYIIBDXUF,0,0,1,2,0.6666666667,5
A2HTMBKL4KE2JH,0.2,0,0.8,1,1.5,5
A13798OPDBLDCO,0,0.1666666667,0.8333333333,1.5,1,6
A2MMH4O7EDNLCV,0,0,1,2.9285714286,0,5
A1IB42LRNA9QLW,0.25,0.125,0.625,5.3524720893,0.3333333333,8
A35HTG0YUEKFGM,0.1428571429,0,0.8571428571,0,0.4,7
A2PN3GY7I3EKC1,0,0,1,1,2,9
APN77K8OVE97N,0.1428571429,0.1428571429,0.7142857143,4,1.3333333333,14
A17IU5NX3UC84G,0.2,0.2,0.6,1,1.5,5
A3OZC468867FW8,0,0,1,0.6666666667,4,5
A2YQTEPCGZ5N7J,0,0.2,0.8,1.5,0.4285714286,10
A3GOS8Y7DV0E4X,0,0,1,0,2.5,7
A31B0LYT2C92SN,0.05,0,0.95,8.75,1.5,20
AG1ZYSLKQCLMD,0,0.1,0.9,1,4,10
A1HSW0NIX8VQ07,0,0.2,0.8,1.3461538462,1.5,5
A34QHL6I85K3V5,0,0.1666666667,0.8333333333,0.3333333333,1,6
A37E0KYNJQNP1E,0,0,1,0.5,1.3333333333,7
AGX9PFO7K90DJ,0,0,1,1,0.4,7
A2QDVOUXE4PYIM,0,0,1,4.75,0.6,8
A14JBDSWKPKTZA,0,0,1,2.625,0.2,6
AFUXETAHFUXFE,0,0,1,0,5,6
AXXGP6UT41KAS,0.125,0,0.875,1,1.6666666667,8
A1ESUYMIG3TZT0,0,0,1,1,0.25,5
A37KK1CLMULHE4,0.0909090909,0.2727272727,0.6363636364,0.3333333333,0.5714285714,11
A14V6CXN8ZWZOS,0,0,1,2,0.4,7
A25K93BZ8GX9ZC,0,0.1666666667,0.8333333333,1,1,6
AC2S76UKUPIL4,0.1666666667,0.1666666667,0.6666666667,0,0.5,6
A3NRNJN4GAQ2V6,0,0.4,0.6,0,0.6666666667,5
A2MR43RDPZX3J,0,0.0769230769,0.9230769231,2,0.4444444444,13
AM8M5BAQRIXY5,0,0,1,4.875,0.25,5
A2074KEJGRYJV4,0.2,0,0.8,0,4,5
A12SSZIN555FTL,0.1428571429,0.1428571429,0.7142857143,3.9166666667,0.1666666667,7
A1B3CNORXB1USI,0.5714285714,0.2857142857,0.1428571429,1.9418779241,0.4,7
A3GSQE0LXPG9YF,0,0,1,1,0.2857142857,9
AF331KJH45RIH,0,0.1428571429,0.8571428571,2,0.4,7
A1CKZGG8OQ2DTS,0,0,1,1,0.25,5
A3V1EHVB14TKX,0,0.2,0.8,1,1.5,5
A2P5U53IUTDUE6,0,0.1666666667,0.8333333333,1,5,6
A26RLGZUUENC6E,0.4,0,0.6,1.25,0.25,5
A3IY9JZZ36OQSV,0.1428571429,0.2857142857,0.5714285714,1,2.5,7
AN1RO6C6I78YO,0,0,1,2.5,0.25,5
A54S9CIUV5VNB,0,0.25,0.75,2.4350649351,0,8
A30HTJ530SMRB7,0.1666666667,0.1666666667,0.6666666667,2,1,6
A1UKMEC156SHOD,0,0,1,0,1.5,5
A3CR1EV98GQ87X,0,0,1,3.8462301587,0,5
A2BT968XSRPP0K,0,0,1,0,1,8
A36OSNJ4YJSGEP,0.25,0,0.75,4.7142857143,1.6666666667,8
ACY9QYNDFLVBI,0.2,0.2,0.6,1.914893617,0.6666666667,5
A2BJZRLR99YW75,0,0,1,1.5,0.25,5
A1BK0KBZBCB5V8,0,0,1,0,0.2,6
ANZGC4YCEQC6W,0.1428571429,0,0.8571428571,3,0,7
A164BJ2NU1NSJZ,0,0.0769230769,0.9230769231,1,5.5,13
A204ETWOV23HO4,0,0.1,0.9,8.3508879181,0.25,10
ATVYABSTW0LIE,0,0.5,0.5,2,2,6
AHF7SNSZPRNCE,0.1111111111,0.1111111111,0.7777777778,1,2,9
A3NGAQKJ6X088B,0,0.2,0.8,0,1.5,5
A280VP2CL6ZFZZ,0,0,1,0,2.5,7
AQFOCVEBDCYU9,0,0,1,1,1.5,5
A3ADSZR7QAQ5U,0,0.4,0.6,1,0,5
A3PQULECO9OAV6,0.1666666667,0.1666666667,0.6666666667,0,1,6
A1ZYSJS573OQ5P,0.2,0,0.8,0,0.6666666667,5
A1JNNQAUI5FZV,0,0.2,0.8,0.8,4,5
A2EQ8GHKXEF141,0,0.125,0.875,2,1,8
A3DJUUPM321IFI,0,0,1,2,0.25,5
A3KZEGBTPH6MMF,0,0.2,0.8,0,0.6666666667,5
A37AQI4AU3JWSR,0,0.1428571429,0.8571428571,3,0.4,7
ABKNRVFFLEA3M,0,0,1,3,1.5,5
A2P83FWHR36WN1,0,0.2,0.8,0.7878787879,0.25,5
A3HEV9M5RNFB3V,0,0,1,1,1.5,5
A2G3VQU2GRN8BU,0,0.1428571429,0.8571428571,2.3333333333,0.75,7
A1UMM894XSEO4F,0,0,1,0.5,1.1666666667,13
A3HMFQWM9Q21SD,0,0,1,3.6666666667,0.2857142857,9
A27L5L6I7OSV5B,0.1,0.1,0.8,5.6419047619,0.25,10
A39TYRIZLTCK9P,0,0,1,0,5,6
A1UMN04FQ6H32D,0,0.2,0.8,0,1.5,5
A2RS66Y79Q8X0W,0,0,1,3.75,0.75,7
A24QFMD1RXLJMB,0,0,1,1.8,1.5,5
A3FW4THIMBIN6V,0.0909090909,0.0909090909,0.8181818182,0.7777777778,0.8333333333,11
A3QEWM5EWFPTE9,0.4,0,0.6,4.1901960784,0,5
A3PL8ENSYWS1PZ,0,0,1,0.5,1.2,11
A3SJP0GZNZJ0XE,0.2,0,0.8,0,0.25,5
AD6FULWPPOJ3R,0.1428571429,0,0.8571428571,1.6,0,7
A1EFXXRDV40C4E,0,0.3333333333,0.6666666667,3.8,0.5,6
A217QN6PDMKS1A,0,0,1,0,2,6
AMACM7BGUQCZD,0,0.2,0.8,0,0.25,5
A2PDPIVN721PZ7,0,0.1111111111,0.8888888889,1,1.25,9
A2M1BW5AQLJLOB,0,0,1,5.9230769231,0,7
A2FY8306QHI5LE,0,0.2,0.8,0,0.25,5
A1VHCO8RQFIGQJ,0,0,1,0,0.25,5
A3NHUK1ISMZCFZ,0,0,1,0,6,7
A14VAT5EAX3D9S,0,0,1,1.9285714286,0.6,8
A2VDGYUTGIOL86,0,0,1,1,0.5,6
A87NFCCTUG4PO,0,0,1,1,1.5,10
A2KI91IR3RA7D0,0,0.1428571429,0.8571428571,6.3269999323,0.1666666667,7
AYTKUTAP0VA53,0.125,0.125,0.75,3,0.6,8
A1GXJW4152V4LJ,0,0,1,0,0.1666666667,7
A15RRJL2HT44J4,0,0.1111111111,0.8888888889,2.8,0,9
A1M3XD9UV3PD3I,0.3333333333,0.1111111111,0.5555555556,0.5,0.2857142857,9
A3GTUNDBLPC00I,0,0,1,2.5714285714,4,5
A3AOB0VF6H0IF4,0.3333333333,0,0.6666666667,1.25,0.5,6
A1LU9607CVAMIF,0,0,1,0,0.25,5
AKAVVQMXSAIGX,0,0,1,3,1,6
A1T9SCT89JJ96,0.4,0,0.6,3.5454402516,0,5
A2EZWZ8MBEDOLN,0.0277777778,0.0833333333,0.8888888889,18.4947368421,0.2857142857,36
A2AC3WEXSIOQQ7,0,0.4,0.6,0.75,1.5,5
A3R4794K2RVU1S,0,0,1,2.5,0.25,5
A394SBIRC4A8S9,0,0.4,0.6,1,0,5
A1A64ANBPFSAT4,0,0,1,1.2142857143,0,6
A2E5YEDFENFZYC,0.25,0.125,0.625,2.5,1,8
A2FIYNFKZQXGWO,0,0.2,0.8,2.0833333333,0,5
A1AWXXBQRQN13I,0,0,1,2.5,0.4,7
AXWB93VKVML6K,0,0,1,0,2,6
A34UQQ1DPQ31IH,0,0.2,0.8,0.5,0.25,5
ATL0URQ0KUKGZ,0,0,1,1,0.5,6
A2WJBUGJ39ZSC8,0,0,1,2.9411764706,0.25,5
A1SD1C8XK3Z3V1,0.0625,0.03125,0.90625,11.5155172414,0.0666666667,32
A2FC9LNES7BVOJ,0,0,1,1.4735294118,0.3333333333,8
AEN6KDJ3AJDK6,0.2,0,0.8,0,0.6666666667,5
A5JC41VQDJVU0,0,0,1,0,1.3333333333,7
AXU9VX024GPSS,0,0,1,1,0,5
A2G8O3QXM9EGJS,0,0.1666666667,0.8333333333,1,0.2,6
A8MQNZK3J0UEX,0,0,1,2.5,1,8
A32264FNDHOH3Q,0,0.1428571429,0.8571428571,1,0.75,7
A1AGIP0FLI2VZW,0,0,1,0,2,9
AROOYR32BS1VL,0,0,1,1,1.5,5
A1RGF9CS1V8O14,0.1428571429,0,0.8571428571,3.25,0.75,7
AJ3MI4QT7339J,0.3333333333,0,0.6666666667,0,0.2,6
A38HMS5RYSYF8G,0,0.1666666667,0.8333333333,0,1,6
A303039F43KD4E,0,0.2,0.8,2.9090909091,0.6666666667,5
A3SGZO3N7MXKPV,0.2,0,0.8,0,0,5
A1S8R9OAIQT7YI,0.2,0.2,0.6,2,1.5,5
A1K45HFFFDNP1A,0.3333333333,0.1666666667,0.5,2.4428571429,2,6
A32NZIV3FHCK62,0,0,1,0,4,5
A3UD50M7M72150,0.25,0,0.75,3.75,0.1428571429,8
A26HM2R5529NYY,0,0,1,2,5,6
A1EVEQAR05SY7L,0.0476190476,0.0952380952,0.8571428571,4.6071428571,0.75,21
ANU2BFZ9STYXU,0.1428571429,0,0.8571428571,1,2.5,7
A2Y1R8CZMTALJP,0.2,0,0.8,1,1.5,5
AUZ9IPTKJKFDK,0.2,0,0.8,3.9,0.25,5
A21VM9WVF8EOSJ,0.2,0.4,0.4,1.25,0.6666666667,5
AXABTEYS7A4A8,0,0,1,0,1,6
APB6VJX5CNR5C,0,0.125,0.875,2.5,0.3333333333,8
A3M05N9UWHIXUI,0,0,1,1,1.5,5
A10E3QH2FQUBLF,0,0,1,0,0.2,6
A3MPMALWL0ERCA,0.1666666667,0.1666666667,0.6666666667,0.5,0.2,6
A3KCR3MWWKM7C1,0,0,1,1,1,6
A3H4FCMNBYS09K,0,0,1,2,1,6
A2S8G6OVAK19EX,0,0,1,2,7,8
A1C0O09LOLVI39,0,0.2,0.8,3,4,15
ASG42G9QTBUX1,0,0,1,1,1.3333333333,7
A2D91EJR5M0CUP,0,0,1,0,0.4,7
AOFLZO8T1IF3B,0,0.2,0.8,1,1.5,5
A2EWLWNMF65J5X,0,0,1,1,0.6666666667,5
A398X9POBHK69N,0,0,1,0,1.5,5
A2JRFV125VJ71R,0,0,1,0.75,0,5
A6OLPMJ9HH4IP,0.2857142857,0,0.7142857143,0,0,7
A28DVY0Q6PPO1J,0,0.2,0.8,0,4,5
A30GZDBGNP2366,0,0.4,0.6,1,0,5
AUOGMXLRRLVE1,0,0.1666666667,0.8333333333,0,1,6
AOY459LVUBKLO,0.2,0.2,0.6,4,0.25,5
A2KWOC600DMC0W,0,0,1,1,0.25,5
A2XXBZPQT5EXHV,0,0,1,2,0,6
A2Z84UZPX7064Q,0,0,1,0,1.5,5
AA5TINW2RJ195,0,0,1,0,2,6
A26NQIGPSFBU5Z,0,0,1,0,0.6666666667,5
ANVQ2KPZUNR4R,0,0,1,0,0.25,5
A127K5WGHNUUH3,0,0,1,2,1,6
A2KKZHISX9YKMI,0,0.2,0.8,2.1363636364,0.25,5
A23NSKTMSPPBTR,0,0.125,0.875,6.0555555556,0.6,8
AH4HBHRM707WA,0,0,1,0,0.25,5
AOPFMCP5DXUK0,0,0,1,1,4,5
AREHEVC8J64QA,0,0,1,1.6666666667,0.6666666667,5
AV8MDYLHHTUOY,0,0.1666666667,0.8333333333,2.9473684211,0.5,6
A1Q94IXHEGQDV7,0,0,1,0,1.3333333333,7
A3FMD34MRUJJ3I,0.2,0.2,0.6,1,1.5,5
A2YTKPGZXFFKVK,0,0,1,0,6,7
A7E0CJH464L82,0,0.2,0.8,1.8,1.5,5
A109ME7C09HM2M,0,0,1,1,0.25,5
A2F26OVBDC7WWA,0,0,1,0,7,8
A1RPGT25Q5QSKU,0,0,1,0,5,6
A1SCWHXAB2ZK7N,0,0,1,3,8,9
A35YS5ND3K5FN,0,0,1,4.9077976191,0,5
A3CNFMV0IISC3C,0.4,0.4,0.2,3.3176470588,1.5,5
A27AD1FFGBVFY0,0.2,0.4,0.4,3.0964912281,1.5,5
A34EGGJLO553D8,0,0,1,4.9,0.1111111111,10
A3GA66OGQOI3EZ,0.2,0,0.8,0,0.6666666667,5
A2U67NUNCRHVO7,0,0,1,3.5,2,6
A2CZIZD0RZ566T,0,0.2,0.8,0,4,5
A2C7BOQVFH1HLE,0,0.3333333333,0.6666666667,3.25,0.2,6
A2B3XQ4FCJTKHQ,0,0,1,0.7777777778,1,6
A1VAUZRF5PUSOZ,0,0,1,1.3333333333,3,8
A1MCMSRNN2AS1F,0,0,1,2,0.6666666667,5
A3RI2C0RY4DHK,0,0,1,1,0,5
APVLFUAI3IDF7,0.2,0,0.8,1.0909090909,0,5
A6FIAB28IS79,0.0476190476,0.0476190476,0.9047619048,16.5717588967,0,21
A1AYYN6YUIDWVG,0,0,1,1,4,5
A2744KNJHWVXMZ,0,0.1666666667,0.8333333333,5.6464646465,0.2,6
A2QEH1K92PBWMQ,0,0,1,2,0.5,6
A35JPJHGOSPZX9,0,0.5,0.5,0,3,8
A2T305UHZJ21L1,0.1666666667,0.3333333333,0.5,1,2,6
A3FA334BIFOMRD,0,0,1,2,0.2,6
A2B58VXLLOFQKR,0.2857142857,0,0.7142857143,2.15,0,7
A85AE6BNHXAXR,0,0.2,0.8,1,0.6666666667,5
AGYH5U11ZKPFB,0,0,1,2.5,0.2222222222,11
AYJJDQQ4EZ5V3,0,0.1666666667,0.8333333333,1,0.5,6
A30KA8I5AHSKJZ,0.1428571429,0.1428571429,0.7142857143,1,1.3333333333,7
A1B9TIERY43Q8H,0,0,1,1,1.5,5
A3J7IC7M8ZSXNU,0,0,1,0,4,5
A3TA1UJWRJF9NC,0,0.1,0.9,3.5,0.1111111111,10
A2RCCN4KEXZGC8,0,0.2,0.8,1,1.5,5
A33IMLYIVBG5Z4,0,0.2,0.8,4.6444873596,0.6666666667,5
AA169UZEJYAV1,0,0,1,0,0,5
A3872Y2XH0YDX1,0,0.1,0.9,3,0.6666666667,10
A298INOY52JEH8,0,0,1,3,0.25,5
A3K6M4WXNTYQEM,0,0.4,0.6,3.75,0.25,5
A3F49ZMUC1GSRP,0,0.4,0.6,2,4,5
ACFBLRCKLPR00,0,0,1,1,1.5,5
APXEAZI8E8GES,0,0.2857142857,0.7142857143,4.6666666667,0.4,7
A3CUYX2VXZM9KO,0,0,1,3,0.75,7
A2RI4QE6EO29CA,0,0,1,0.6666666667,1,6
A1NIX2WA2ZKLV7,0,0,1,2,0.25,5
A33H0WC9MI8OVW,0,0,1,4.7180029273,0.25,5
A1YA2BPU7CVNJD,0,0.1428571429,0.8571428571,2.8,6,7
A18X6ZT4AEYVKB,0,0,1,3,1.5,10
AO68X66YOJGQI,0,0.2,0.8,1.8571428571,1.5,5
A31XY5BETE8DUC,0.1666666667,0.1666666667,0.6666666667,1,2,6
A25QPZOMZTFFV8,0.25,0,0.75,1,0.1428571429,8
A3KIOG0NDTJ32D,0,0.2,0.8,0,0.6666666667,5
A2D0F8W7FDBBS6,0,0.2,0.8,4.850877193,0.6666666667,5
AMY8AUDIBXHCI,0,0.2,0.8,1,0.6666666667,5
A395RVQDH28EK9,0,0,1,0,0.5,6
A1BTNPMESS99PL,0,0,1,3.630952381,0.2,6
AOGJD9K1UN63X,0,0.3333333333,0.6666666667,3,0.5,6
A34QGH6PW5UPA2,0,0,1,2,1.5,5
A3ARPUKCI6R91Y,0.2,0,0.8,4.5714285714,0,5
A35QFQI0M46LWO,0,0,1,1,2.5,7
A21WZ0YAMX0NLE,0,0,1,0,2.5,7
A9P4Q7KX35RS2,0.1428571429,0,0.8571428571,0,1.3333333333,7
A1A9DIM802STMK,0.125,0,0.875,3.5,1,8
A2SFO875EQ66AB,0,0,1,0,0.25,5
A38XYO1S5747MY,0,0,1,1,4,5
A2MAGKKVHUF21F,0.4,0,0.6,1.75,4,5
A31997Q9ABEIE9,0,0,1,1,4,5
A3IKOEE8Z3T6BH,0.0833333333,0.1666666667,0.75,2.6071428571,1,12
AONGA3BHTK0EG,0,0.2,0.8,4.6893939394,0,10
A34O0KQV4QXWNQ,0.1071428571,0.1071428571,0.7857142857,11.1666666667,3,28
AU9RL6MBM25YY,0,0,1,3.7376788553,0.6666666667,5
A310MXGFV4RIK0,0,0,1,0,6,7
